id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,flam,con,proper,ra,dec,pos_src,dist,x0,y0,z0,dist_src,mag,absmag,ci,mag_src,rv,rv_src,pm_ra,pm_dec,pm_src,vx,vy,vz,spect,spect_src
1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sol,0,0,OTHER,0,0.000005,0,0,OTHER,-26.7,4.85,0.656,OTHER,NULL,OTHER,NULL,NULL,OTHER,NULL,NULL,NULL,G2 V,OTHER
21,5841-1155-1,2.34187167309008E+018,2,2,224690,NULL,NULL,NULL,NULL,Cet,NULL,0.00028401,-19.49883522,T,37.3164,35.176,0.003,-12.456,G_R3,9.27,6.411,0.999,HIP,6.83,G_R3,179.805,-1.041,G_R3,6.375,31.807,-2.454,K3 V,T
82,2267-1192-1,2.8751258103102E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,And,NULL,0.00113504,34.18855925,T,49.5189,40.962,0.012,27.826,G_R3,8.567,5.093,0.723,T,-31.18,G_R3,-227.366,-56.934,G_R3,-18.266,-53.378,-28.576,NULL,N
268,4666-461-1,2.44781528778306E+018,18,18,NULL,NULL,NULL,NULL,NULL,Psc,NULL,0.0035227,-4.05369044,T,43.8924,43.783,0.04,-3.103,G_R3,11.03,7.818,1.567,HIP,25.532,G_R3,-119.288,24.122,G_R3,25.846,-24.796,3.202,K5,HYG
611,9354-161-1,4.6354225889824E+018,38,38,224752,NULL,NULL,NULL,NULL,Oct,NULL,0.00753952,-79.0619839,T,40.0972,7.608,0.015,-39.369,G_R3,8.65,5.634,0.778,HIP,9.833,G_R3,162.425,-62.09,G_R3,-9.783,30.854,-11.893,G6 V,T
743,8467-95-1,4.92251005715612E+018,47,47,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.009006,-56.835602,HIP_X,45.1616,24.706,0.058,-37.805,G_R3,10.78,7.506,1.15,HIP,11.541,G_R3,-44.907,-145.44,G_R3,-19.729,-9.661,-26.694,K3V,HYG
894,1181-1683-1,2.77408739186625E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.01090221,18.4888612,T,33.5698,31.837,0.091,10.646,G_R3,11.278,8.648,1.635,T,41.831,G_R3,334.745,195.813,G_R3,29.638,53.355,42.818,NULL,N
920,9134-449-1,4.70323730508737E+018,57,57,224789,NULL,NULL,NULL,NULL,Tuc,NULL,0.01120033,-69.67596717,T,29.304,10.178,0.03,-27.48,G_R3,8.27,5.935,0.863,HIP,36.653,G_R3,-40.605,-67.653,G_R3,3.934,-5.629,-37.635,K2 V,T
943,4018-2879-1,4.29915991435184E+017,58,58,224792,NULL,NULL,NULL,NULL,Cas,NULL,0.01156763,62.17589889,T,38.3071,17.88,0.054,33.878,G_R3,7.05,4.134,0.52,HIP,3.941,G_R3,-46.955,-43.467,G_R3,8.846,-8.5,-0.199,G0,T
1074,1178-1142-1,2.7729046953106E+018,68,68,224808,NULL,NULL,NULL,NULL,Peg,NULL,0.01336375,16.98822044,T,30.067,28.7547,0.1009,8.7843,G_R3,8.79,6.4,0.94,HIP,-21.9,HYG,-52.202,-307.385,G_R3,-8.118,-7.469,-48.299,K0,HYG
1195,2271-1660-1,2.87705088337143E+018,74,74,NULL,NULL,NULL,NULL,NULL,And,NULL,0.01482426,35.75262975,T,41.9987,34.084,0.132,24.539,G_R3,9.93,6.814,1.068,HIP,-4,G_R3,158.802,-41.165,G_R3,1.42,31.622,-8.988,K5,HYG
1308,4666-884-1,2.44468618076941E+018,81,81,224828,NULL,NULL,NULL,NULL,Psc,NULL,0.01622769,-4.93253126,T,45.0262,44.859,0.191,-3.871,G_R3,8.57,5.303,0.642,HIP,0.163,G_R3,-187.001,-173.233,G_R3,-2.847,-39.927,-36.853,G5 V,T
1447,6412-410-1,2.33983737041983E+018,NULL,NULL,224832,NULL,NULL,NULL,NULL,Cet,NULL,0.0178241,-23.44033146,T,33.3402,30.588,0.143,-13.263,G_R3,9.503,6.888,1.259,T,7.778,G_R3,67.335,-168.005,G_R3,-3.476,10.626,-27.456,K3 V,T
1656,600-1507-1,2.76738738032449E+018,96,96,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.02033104,13.97509506,T,36.5756,35.493,0.1894,8.8335,G_R3,10.46,7.644,1.36,HIP,NULL,N,15.608,150.05,G_R3,-6.297,2.673,25.246,M0,HYG
1925,2267-1234-1,2.87522332324824E+018,111,111,NULL,NULL,NULL,NULL,NULL,And,NULL,0.02332462,34.28184969,T,38.1085,31.488,0.192,21.465,G_R3,11.28,8.375,1.308,HIP,-0.044,G_R3,254.675,-5.2,G_R3,0.212,46.01,-0.801,M2,HYG
1961,5838-784-1,2.41487058652024E+018,112,112,NULL,NULL,GJ 1293,NULL,NULL,Cet,NULL,0.02384217,-16.94844647,T,31.4862,30.118,0.188,-9.179,G_R3,10.76,8.269,1.384,HIP,0.468,G_R3,293.902,-253.436,G_R3,-10.854,43.801,-36.321,M1.5V:,HYG
2531,1184-386-1,2.84674920190344E+018,144,143,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.03037692,21.46249509,T,43.4051,40.394,0.321,15.882,G_R3,10.35,7.162,1.033,HIP,-16.502,G_R3,177.859,149.56,G_R3,-26.908,36.384,22.602,K3,HYG
2988,9134-1714-1,NULL,169,169,224953,NULL,GJ 1294A,NULL,NULL,Tuc,NULL,0.03575425,-68.28071652,T,15.328,5.672,0.053,-14.24,HIP,9.24,8.313,1.39,HIP,NULL,N,207.45,-231.8,HYG,-15.788,14.927,-6.233,M0V,HYG
3017,NULL,4.99487709499726E+018,119615,NULL,NULL,NULL,Gl 915,NULL,NULL,Phe,NULL,0.036059,-43.165974,GJ,8.3323403961028,6.077,0.058,-5.7,G_R3,13.05,13.446,0.07,GJ,48.7,OTHER,613.785,-686.989,G_R3,16.727,24.403,-53.108,NULL,NULL
3023,1732-2731-1,2.85390087220789E+018,171,171,224930,9088,Gl 914A,NULL,85,Peg,NULL,0.03616312,27.08209071,T,12.3185,10.9673,0.1043,5.6076,G_R3,5.8,5.347,0.69,HIP,-37.6,HYG,716.46,-941.497,G_R3,-8.843,41.756,-66.069,G3V,HYG
3183,8464-1075-1,4.9720580711942E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.03791194,-53.57997175,T,48.4068,28.738,0.285,-38.952,G_R3,11.665,8.24,1.984,T,18.484,G_R3,12.741,-122.676,G_R3,-11.707,2.808,-31.587,NULL,N
3222,4014-525-1,4.29335036979069E+017,NULL,NULL,240476,NULL,NULL,NULL,NULL,Cas,NULL,0.03832114,60.50599845,T,38.2271,18.819,0.189,33.273,G_R3,9.814,6.902,1.083,T,-9.697,G_R3,-71.476,-98.518,G_R3,10.895,-12.844,-17.23,NULL,N
3303,597-954-1,2.76546289137812E+018,184,184,224983,NULL,NULL,NULL,NULL,Peg,NULL,0.03931741,11.00623617,T,33.7964,33.173,0.341,6.452,G_R3,8.48,5.836,0.888,HIP,-17.642,G_R3,-4.919,-42.738,G_R3,-16.001,-0.953,-10.089,K0,T
3424,8022-637-1,4.99114318786955E+018,191,191,NULL,NULL,NULL,NULL,NULL,Phe,NULL,0.04081914,-46.02884131,T,36.9501,25.6532,0.2744,-26.593,G_R3,12.43,9.592,1.49,HIP,NULL,N,200.978,-11.719,G_R3,-1.853,35.186,-1.425,M3,HYG
3482,594-374-1,2.74688355005075E+018,194,194,225003,9093,NULL,NULL,32,Psc,NULL,0.04158384,8.48546279,T,37.5561,37.143,0.404,5.542,G_R3,5.7,2.827,0.315,HIP,10.919,G_R3,-93.867,-46.971,G_R3,12.214,-16.58,-6.66,F 2 V A,T
3706,NULL,2.31282126630222E+018,117955,NULL,NULL,NULL,GJ 3001,NULL,NULL,Scl,NULL,0.044479,-34.226836,GJ,14.8084307357865,12.243,0.143,-8.329,G_R3,14.9,14.047,0.46,GJ,NULL,OTHER,152.212,-762.221,G_R3,-30.219,10.334,-44.241,NULL,NULL
3867,1-903-1,2.73905970018475E+018,224,223,225028,NULL,NULL,NULL,NULL,Psc,NULL,0.04643806,2.13012782,T,42.7876,42.755,0.52,1.59,G_R3,7.17,4.013,0.617,HIP,NULL,N,62.34,-93.353,G_R3,0.55,12.652,-18.922,F8/G0 V,T
4152,1178-920-1,2.77286827398913E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Peg,NULL,0.05010764,16.92931919,T,47.5251,45.462,0.596,13.839,G_R3,11.202,7.817,1.319,T,-11.831,G_R3,117.123,32.788,G_R3,-13.814,26.208,3.622,NULL,N
4515,9346-149-1,4.68522379993122E+018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oct,NULL,0.05513037,-75.55586284,T,43.3439,10.81,0.156,-41.974,G_R3,12.141,8.956,1.781,T,-39.387,G_R3,303.308,23.652,G_R3,-6.017,62.241,39.354,NULL,N
4527,4-1063-1,2.74190169722427E+018,263,263,NULL,NULL,NULL,NULL,NULL,Psc,NULL,0.05528252,4.68713578,T,28.6707,28.572,0.4133,2.3423,G_R3,12.04,9.753,1.473,HIP,NULL,N,-25.633,-84.211,G_R3,0.986,-3.47,-11.407,M1,HYG
